sentence_id,words,labels
0,snapdragon,B-PERFORMANCE
0,860,I-PERFORMANCE
111,a13,B-PERFORMANCE
111,bionic,I-PERFORMANCE
152,exynos,B-PERFORMANCE
152,9611,I-PERFORMANCE
163,kirin,B-PERFORMANCE
163,9000,I-PERFORMANCE
174,dimensity,B-PERFORMANCE
174,820,I-PERFORMANCE
185,unisoc,B-PERFORMANCE
185,sc9863a,I-PERFORMANCE
196,helio,B-PERFORMANCE
196,p60,I-PERFORMANCE
207,snapdragon,B-PERFORMANCE
207,888,I-PERFORMANCE
207,plus,I-PERFORMANCE
218,helio,B-PERFORMANCE
218,g88,I-PERFORMANCE
1,tensor,B-PERFORMANCE
1,g3,I-PERFORMANCE
12,snapdragon,B-PERFORMANCE
12,660,I-PERFORMANCE
23,snapdragon,B-PERFORMANCE
23,632,I-PERFORMANCE
34,snapdragon,B-PERFORMANCE
34,845,I-PERFORMANCE
45,kirin,B-PERFORMANCE
45,960,I-PERFORMANCE
56,snapdragon,B-PERFORMANCE
56,8,I-PERFORMANCE
56,gen,I-PERFORMANCE
56,2,I-PERFORMANCE
67,snapdragon,B-PERFORMANCE
67,732g,I-PERFORMANCE
78,a10,B-PERFORMANCE
78,fusion,I-PERFORMANCE
89,snapdragon,B-PERFORMANCE
89,765g,I-PERFORMANCE
100,snapdragon,B-PERFORMANCE
100,835,I-PERFORMANCE
112,tiger,B-PERFORMANCE
112,t618,I-PERFORMANCE
123,dimensity,B-PERFORMANCE
123,8300,I-PERFORMANCE
134,dimensity,B-PERFORMANCE
134,7020,I-PERFORMANCE
145,snapdragon,B-PERFORMANCE
145,8,I-PERFORMANCE
145,gen,I-PERFORMANCE
145,3,I-PERFORMANCE
146,snapdragon,B-PERFORMANCE
146,670,I-PERFORMANCE
147,kirin,B-PERFORMANCE
147,9000s,I-PERFORMANCE
148,dimensity,B-PERFORMANCE
148,9200,I-PERFORMANCE
148,plus,I-PERFORMANCE
149,snapdragon,B-PERFORMANCE
149,750g,I-PERFORMANCE
150,helio,B-PERFORMANCE
150,g35,I-PERFORMANCE
151,snapdragon,B-PERFORMANCE
151,678,I-PERFORMANCE
153,dimensity,B-PERFORMANCE
153,7050,I-PERFORMANCE
154,a9,B-PERFORMANCE
155,snapdragon,B-PERFORMANCE
155,778g,I-PERFORMANCE
155,plus,I-PERFORMANCE
156,a12,B-PERFORMANCE
156,bionic,I-PERFORMANCE
157,snapdragon,B-PERFORMANCE
157,6,I-PERFORMANCE
157,gen,I-PERFORMANCE
157,1,I-PERFORMANCE
158,snapdragon,B-PERFORMANCE
158,870,I-PERFORMANCE
159,exynos,B-PERFORMANCE
159,8895,I-PERFORMANCE
159,octa,I-PERFORMANCE
160,dimensity,B-PERFORMANCE
160,9300,I-PERFORMANCE
161,snapdragon,B-PERFORMANCE
161,865,I-PERFORMANCE
162,dimensity,B-PERFORMANCE
162,810,I-PERFORMANCE
164,a8,B-PERFORMANCE
165,snapdragon,B-PERFORMANCE
165,8,I-PERFORMANCE
165,plus,I-PERFORMANCE
165,gen,I-PERFORMANCE
165,1,I-PERFORMANCE
166,google,B-PERFORMANCE
166,tensor,I-PERFORMANCE
167,snapdragon,B-PERFORMANCE
168,helio,B-PERFORMANCE
168,a22,I-PERFORMANCE
169,snapdragon,B-PERFORMANCE
169,8,I-PERFORMANCE
169,gen,I-PERFORMANCE
169,1,I-PERFORMANCE
170,msm8996,B-PERFORMANCE
170,snapdragon,I-PERFORMANCE
170,821,I-PERFORMANCE
171,snapdragon,B-PERFORMANCE
171,732g,I-PERFORMANCE
172,exynos,B-PERFORMANCE
172,2100,I-PERFORMANCE
173,mediatek,B-PERFORMANCE
173,mt6737,I-PERFORMANCE
175,snapdragon,B-PERFORMANCE
175,870,I-PERFORMANCE
176,exynos,B-PERFORMANCE
176,1280,I-PERFORMANCE
177,helio,B-PERFORMANCE
177,g36,I-PERFORMANCE
178,snapdragon,B-PERFORMANCE
178,720g,I-PERFORMANCE
179,helio,B-PERFORMANCE
179,p65,I-PERFORMANCE
180,snapdragon,B-PERFORMANCE
180,865,I-PERFORMANCE
181,dimensity,B-PERFORMANCE
181,7030,I-PERFORMANCE
182,dimensity,B-PERFORMANCE
182,1300,I-PERFORMANCE
183,snapdragon,B-PERFORMANCE
183,4,I-PERFORMANCE
183,gen,I-PERFORMANCE
183,2,I-PERFORMANCE
184,dimensity,B-PERFORMANCE
184,700,I-PERFORMANCE
186,exynos,B-PERFORMANCE
186,7420,I-PERFORMANCE
187,snapdragon,B-PERFORMANCE
187,778g,I-PERFORMANCE
188,kirin,B-PERFORMANCE
188,659,I-PERFORMANCE
189,dimensity,B-PERFORMANCE
189,800u,I-PERFORMANCE
190,helio,B-PERFORMANCE
190,p90,I-PERFORMANCE
191,dimensity,B-PERFORMANCE
191,9200,I-PERFORMANCE
192,dimensity,B-PERFORMANCE
192,1200,I-PERFORMANCE
193,snapdragon,B-PERFORMANCE
193,860,I-PERFORMANCE
194,snapdragon,B-PERFORMANCE
194,7,I-PERFORMANCE
194,plus,I-PERFORMANCE
194,gen,I-PERFORMANCE
194,2,I-PERFORMANCE
195,dimensity,B-PERFORMANCE
195,8100,I-PERFORMANCE
197,dimensity,B-PERFORMANCE
197,720,I-PERFORMANCE
198,snapdragon,B-PERFORMANCE
198,665,I-PERFORMANCE
199,exynos,B-PERFORMANCE
199,9810,I-PERFORMANCE
200,helio,B-PERFORMANCE
200,g25,I-PERFORMANCE
201,snapdragon,B-PERFORMANCE
201,835,I-PERFORMANCE
202,helio,B-PERFORMANCE
202,g85,I-PERFORMANCE
203,kirin,B-PERFORMANCE
203,9000,I-PERFORMANCE
204,snapdragon,B-PERFORMANCE
204,7,I-PERFORMANCE
204,gen,I-PERFORMANCE
204,1,I-PERFORMANCE
205,snapdragon,B-PERFORMANCE
205,780g,I-PERFORMANCE
206,snapdragon,B-PERFORMANCE
206,730,I-PERFORMANCE
208,helio,B-PERFORMANCE
208,p95,I-PERFORMANCE
209,tiger,B-PERFORMANCE
209,t612,I-PERFORMANCE
210,helio,B-PERFORMANCE
210,g96,I-PERFORMANCE
211,exynos,B-PERFORMANCE
211,980,I-PERFORMANCE
212,a14,B-PERFORMANCE
212,bionic,I-PERFORMANCE
213,kirin,B-PERFORMANCE
213,710f,I-PERFORMANCE
214,kirin,B-PERFORMANCE
214,810,I-PERFORMANCE
