cpu_name
A10 Fusion
A11 Bionic
A12 Bionic
A13 Bionic
A14 Bionic
A15 Bionic
A16 Bionic
A17 Pro
Apple A9
Dimensity 1000 Plus
Dimensity 1050
Dimensity 1080
Dimensity 1100
Dimensity 1200
Dimensity 1300
Dimensity 6020
Dimensity 6080
Dimensity 6100 Plus
Dimensity 6300
Dimensity 700
Dimensity 7020
Dimensity 7025
Dimensity 7030
Dimensity 7050
Dimensity 720
Dimensity 7200
Dimensity 7200 Ultra
Dimensity 800
Dimensity 800U
Dimensity 8020
Dimensity 8050
Dimensity 810
Dimensity 8100
Dimensity 820
Dimensity 8200
Dimensity 8300
Dimensity 900
Dimensity 9000
Dimensity 9000 Plus
Dimensity 920
Dimensity 9200
Dimensity 9200 Plus
Dimensity 930
Dimensity 9300
Exynos 1280
Exynos 1330
Exynos 1380
Exynos 1480
Exynos 2100
Exynos 2200
Exynos 2400
Exynos 7870
Exynos 7884B
Exynos 7885
Exynos 7904
Exynos 850
Exynos 8890
Exynos 8895
Exynos 9610
Exynos 9611
Exynos 980
Exynos 9810
Exynos 9820
Exynos 9825
Exynos 990
Google Tensor
Helio A22
Helio G25
Helio G35
Helio G36
Helio G37
Helio G70
Helio G80
Helio G85
Helio G88
Helio G90T
Helio G95
Helio G96
Helio G99
Helio P22
Helio P35
Helio P60
Helio P65
Helio P70
Helio P90
Helio P95
Kirin 659
Kirin 710
Kirin 710A
Kirin 710F
Kirin 810
Kirin 9000
Kirin 9000S
Kirin 9010
Kirin 960
Kirin 970
Kirin 980
Kirin 990 (5G)
MediaTek MT6737
Snapdragon 4 Gen 1
Snapdragon 4 Gen 2
Snapdragon 430
Snapdragon 435
Snapdragon 439
Snapdragon 450
Snapdragon 460
Snapdragon 480
Snapdragon 480 Plus
Snapdragon 6 Gen 1
Snapdragon 625
Snapdragon 630
Snapdragon 632
Snapdragon 636
Snapdragon 660
Snapdragon 662
Snapdragon 665
Snapdragon 670
Snapdragon 675
Snapdragon 678
Snapdragon 680
Snapdragon 685
Snapdragon 690
Snapdragon 695
Snapdragon 7 Gen 1
Snapdragon 7 Gen 3
Snapdragon 7 Plus Gen 2
Snapdragon 7 Plus Gen 3
Snapdragon 710
Snapdragon 712
Snapdragon 720G
Snapdragon 730
Snapdragon 730G
Snapdragon 732G
Snapdragon 750G
Snapdragon 765G
Snapdragon 778G
Snapdragon 778G Plus
Snapdragon 780G
Snapdragon 782G
Snapdragon 7s Gen 2
Snapdragon 8 Gen 1
Snapdragon 8 Gen 2
Snapdragon 8 Gen 3
Snapdragon 8 Plus Gen 1
Snapdragon 820
Snapdragon 821
Snapdragon 835
Snapdragon 845
Snapdragon 855
Snapdragon 855 Plus
Snapdragon 860
Snapdragon 865
Snapdragon 865 Plus
Snapdragon 870
Snapdragon 888
Snapdragon 888 Plus
Snapdragon 8s Gen 3
Tensor G2
Tensor G3
Tiger T610
Tiger T612
Tiger T616
Tiger T618
Tiger T700
Unisoc SC9863A
Unisoc T606
Unisoc T820
