cpu_name,tag
snapdragon 860,B-performance I-performance 
a13 bionic,B-performance I-performance 
exynos 9611,B-performance I-performance 
kirin 9000,B-performance I-performance 
dimensity 820,B-performance I-performance 
unisoc sc9863a,B-performance I-performance 
helio p60,B-performance I-performance 
snapdragon 888 plus,B-performance I-performance I-performance 
helio g88,B-performance I-performance 
tensor g3,B-performance I-performance 
snapdragon 660,B-performance I-performance 
snapdragon 632,B-performance I-performance 
snapdragon 845,B-performance I-performance 
kirin 960,B-performance I-performance 
snapdragon 8 gen 2,B-performance I-performance I-performance I-performance 
snapdragon 732g,B-performance I-performance 
a10 fusion,B-performance I-performance 
snapdragon 765g,B-performance I-performance 
snapdragon 835,B-performance I-performance 
tiger t618,B-performance I-performance 
dimensity 8300,B-performance I-performance 
dimensity 7020,B-performance I-performance 
snapdragon 8 gen 3,B-performance I-performance I-performance I-performance 
snapdragon 670,B-performance I-performance 
kirin 9000s,B-performance I-performance 
dimensity 9200 plus,B-performance I-performance I-performance 
snapdragon 750g,B-performance I-performance 
helio g35,B-performance I-performance 
snapdragon 678,B-performance I-performance 
dimensity 7050,B-performance I-performance 
a9,B-performance 
snapdragon 778g plus,B-performance I-performance I-performance 
a12 bionic,B-performance I-performance 
snapdragon 6 gen 1,B-performance I-performance I-performance I-performance 
snapdragon 870,B-performance I-performance 
exynos 8895 octa,B-performance I-performance I-performance 
dimensity 9300,B-performance I-performance 
snapdragon 865,B-performance I-performance 
dimensity 810,B-performance I-performance 
a8,B-performance 
snapdragon 8 plus gen 1,B-performance I-performance I-performance I-performance I-performance 
google tensor,B-performance I-performance 
snapdragon,B-performance I-performance 
helio a22,B-performance I-performance 
snapdragon 8 gen 1,B-performance I-performance I-performance I-performance 
msm8996 snapdragon 821,B-performance I-performance I-performance I-performance 
snapdragon 732g,B-performance I-performance 
exynos 2100,B-performance I-performance 
mediatek mt6737,B-performance I-performance 
snapdragon 870,B-performance I-performance 
exynos 1280,B-performance I-performance 
helio g36,B-performance I-performance 
snapdragon 720g,B-performance I-performance 
helio p65,B-performance I-performance 
snapdragon 865,B-performance I-performance 
dimensity 7030,B-performance I-performance 
dimensity 1300,B-performance I-performance 
snapdragon 4 gen 2,B-performance I-performance I-performance I-performance 
dimensity 700,B-performance I-performance 
exynos 7420,B-performance I-performance 
snapdragon 778g,B-performance I-performance 
kirin 659,B-performance I-performance 
dimensity 800u,B-performance I-performance 
helio p90,B-performance I-performance 
dimensity 9200,B-performance I-performance 
dimensity 1200,B-performance I-performance 
snapdragon 860,B-performance I-performance 
snapdragon 7 plus gen 2,B-performance I-performance I-performance I-performance I-performance 
dimensity 8100,B-performance I-performance 
dimensity 720,B-performance I-performance 
snapdragon 665,B-performance I-performance 
exynos 9810,B-performance I-performance 
helio g25,B-performance I-performance 
snapdragon 835,B-performance I-performance 
helio g85,B-performance I-performance 
