review,tag
huawei pura 70 ultra headliner reimagined photography series huawei pack best camera chinese maker could conjure coupled best design screen kirin chipset battery technology course,O O O O O O B-camera O O O O B-camera O O O O O O O B-screen B-performance O B-battery O O
despite name change huawei p series alive kicking promising ever even without leica trendy partnership present marketing hype yes u sanction still play huawei seems verge making irrelevant,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
back best smartphone inspection nothing short thrilled time spent huawei pura 70 ultra process reviewing decided give glimpse coming way,O O O O O O O O O O O O O O O O O O O O
pura 70 ultra one phone market immediately pick among hundred phone second triangular camera design unique back panel quite nice even housing well huge,O O O O O O O O O O O O O B-camera O O O O O O O O O O
large ltpo oled screen 1260p resolution 1b color 120hz refresh rate kirin 9010 chipset 5g connectivity probably initiate new portion investigation look promising improved capability,O O B-screen I-screen B-screen I-screen O O B-screen I-screen I-screen B-performance I-performance O B-connection I-connection O O O O O O O O O
camera real showstopper rightfully retractable main camera thoroughly interesting unique mechanical design sure wait test 1 sensor one make use stabilization variable aperture lens af next 50mp telephoto camera optical zoom 10x hybrid zoom one macro photo close 5cm away 40mp ultrawide camera promise really wide field view 13mm aperture lens,B-camera O O O O B-camera I-camera O O O O O O O O O B-feature O O O B-camera O O O O O B-camera B-camera I-camera O O O O O O O O O O O B-camera B-camera I-camera O O O O O O O O
13mp selfie camera also lens support autofocus,B-camera B-camera I-camera O O O O
finally huawei pura 70 ultra pack 5200mah battery capable 100w wired 80w wireless charging plus 20w reverse wireless charging,O O O O O O B-battery B-battery O B-charging O B-charging O B-charging O B-charging O O B-charging
pura 70 ultra ship one large thick box inside find phone one premium case matching color different texture 100w power adapter usb cable,O O O O O O O O O O O O O O O O O O B-charging B-performance O B-charging O
notice charger port though use one time,O O B-charging O O O O
honor porsche design design collaboration continues magic v2 rsr magic6 rsr one reimagined magic6 pro come couple hard spot hardware improvement contrast v2 situation difference,O O O O O O O O O O O O O O O O O O O O O O O O O
porsche design magic6 rsr build regular model camera system adding extra autofocusing assistance come form lidar matrix enables focusing speed 60fps great pet photo shoot,O O O O O O O B-camera O O O O O O O O O O O O O O O O O
honor also say using different advanced version primary camera sensor push dynamic range capability 15ev weather contributed cloud test,O O O O O O O O B-camera B-feature O O O O O O O O O
display also different magic6 rsr compared magic6 pro size resolution unchanged oled panel tandem display promising improved longevity nudge max brightness version lacking respect,B-screen O O O O O O O O O O B-screen O O B-screen O O O O O B-screen O O O
look porsche design honor magic6 rsr compare side side regular version focusing difference mentioned sort display effect battery life brief exploration main camera stack next magic6 pro,O O O O O O O O O O O O O O O B-screen O B-battery I-battery O O B-camera I-camera O O O O
presentation porsche design version predictably upscale regular magic6 pro contrast even stark would previous year pro switching approach 2024 rsr,O O O O O O O O O O O O O O O O O O O O
porsche design magic6 ship oversized graphite colored box contain normally expect surprising development already seen magic v2 rsr unboxing inclusion one two separate charger one uk style plug type g another euro plug type f also separate cable adapter maybe charger saved mainstream magic diverted rsr box,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
package also includes protective case back phone covered material outside look like magic v2 rsr case somehow ever slightly le supple still pretty nice course one nicer inside alcantara similar material fine pattern hexagon like phone camera since originally saw honor magic v2 got initial experience chinese announcement event since phone finally global launch alongside rsr porsche design edition almost may finally finally get opportunity review device pointing timeframe thing since today dynamic market time enough make phone necessarily irrelevant definitely le,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-camera O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
honor magic v2 though remains special like really special foldable fan smartphone realm general sure might running snapdragon 8 gen 2 chipset point thing magic,O O O O O O O O O O O O O O O O O B-performance I-performance I-performance I-performance O O O O
let start probably impressive aspect magic v2 size weight course absolute term far compact measuring folded tipping scale 231g asterisk may sound impressive realize honor made first foldable form factor le 10mm,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
impressive enough consider samsung galaxy s24 ultra measure x 79 x mm weighs 232 gram v2 get whole extra display large one major compromise including hefty mah battery potent triple camera setup even extra selfie camera roughly form factor samsung apple current flagship model foldables really come long way despite relative age honor magic v2 represents current pinnacle form,O O O O O O O O O O O O O O O O O O O B-screen O O O O O O O B-battery O O B-camera O O O B-camera I-camera O O O O O O O O O O O O O O O O O O O O O O O
almost feel like honor broke law physic magic v2 lot space weight saving come new battery used magic v2 boast impressive energy density making super thin explains get capacity inside svelte body like magic,O O O O O O O O O O O O O O O B-battery O O O O O O O O O O O O O O O O O O
many refinement upgrade magic v2 technically third major iteration honor foldable line definitely go everything detail highlight include 120hz refresh rate foldable display ltpo tech panel plus brand new camera setup ois 8x8 dtof laser af main,O O O O O O O O O O O O O O O O O O B-screen I-screen I-screen O B-screen O O O O O O B-camera O B-camera O O O O O
also mention trying fit v2 hectic review schedule package arrived doorstep another v2 v2 v2 speak porsche design honor magic v2 rsr much exclusive repackaging otherwise hardware say word one,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
unlike mainstream flagship foldables still tend present premium product hence usually expect attention retail bundle like back day definitely true magic v2 come large box provides plenty protection,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
accessory package quite lavish especially modern term get one honor 66w supercharge adapter box pair perfectly charging capability phone interestingly enough charger still us connection get usb cable box also included case carbon fiber pattern well,O O O O O O O O O O B-charging O O O O O B-charging O O O O O O O B-connection O B-charging O O O O O O O O O
thought premium wait till see porsche design version even nicer box start content go extra,O O O O O O O O O O O O O O O
one get one two charger one uk style plug type g another euro plug type f afford rsr version clearly globetrotter ca bothered socket adapter also get two usb cable point,O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-charging O O
bundle includes even nicer back cover clad either real leather look feel close plus real thread stitching,O O O O O O O O O O O O O O O O O
magic v2s operated stylus porsche design version come one box pretty one befitting brand plus come carrying case life rich famous,O O O O O O O O O O O O O O O O O O O O O
unintuitively honor pad 9 tablet 9 china large screen cover basic audio setup even stylus support fairly reasonable price optional bluetooth keyboard pad 9 stray past basic expandable storage audio jack support positioning nfc radio receiver camera setup also fairly basic 13mp snapper back 8mp one recent surge device tablet space assume market research likely indicates user looking truly premium tablet honor pad 9 might well positioned honor pad 9 ship basic cardboard box plastic package always appreciated ecological standpoithe box cover large image front tablet along proud proclamation support google app google chrome plenty space inside box quite compartment different accessory unit came honor supercharge charger basic usb cable get keyboard stylus main also got optional bluetooth keyboard review well come equally basic cardboard box plastic sight however foam keep keyboard banging case part optional honor choice pencil stylus review time,O O O O O O O O B-screen O O B-audio O O O O O O O O B-connection O O O O O O O B-storage B-audio I-audio O O O O O B-camera O O O O B-camera O O B-camera O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-camera O O O O O O O O O O O O O O O O O O O O O O O O B-charging O O O O O O O O B-connection O O O O O O O O O O O O O O O O O O O O O O O O
motorola sensorial experience year shifting attention spec lifestyle least idea trying sell u edge 50 pro color material experience ai marketing focus try remain pragmatic get tangled esoteric,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
ca miss pantone collaboration outside previous model company edge 50 pro come least one unusual hue okayed color matching specialist luxe lavender case done pantone display camera first industry whatever worth,O O O O O O O O O O O O O O O O O O O O O O O O O B-screen B-camera O O O O
liking number general oled sharp 1220p fast 144hz mention bright 2000nits motorola say spec appreciated camera field first foremost aperture main camera also nice see proper setup telephoto included fact ultrawide autofocus deserves praise right outset,O O O B-screen O B-screen O B-screen O O O O O O O B-camera O O O O B-camera I-camera O O O O O O O O O O O O O O
le enthusiastic heart edge 50 pro snapdragon 7 gen perhaps recall edge 40 pro flagship snapdragon last year year pro different restructuring lineup 2024 mean ultra top like one generation prior one get chipset pro meanwhile step status see stand value meter go along,O O O O O O B-performance I-performance I-performance O O O O O O B-performance O O O O O O O O O O O O O O O O O O O O O O O O O O O O
charging capability come though 125w 18 minute empty full spec promising albeit caveat 50w wireless charging rating also welcome improvement 15w previous generation even capacity overly generous like relatively compact size weight ip68 rating welcome also befitting moniker,B-charging O O O B-charging O O O O O O O O B-charging O B-charging O O O O B-charging O O O O O O O O O O O B-feature I-feature O O O O
motorola unboxings become somewhat treat recent year thanks company practice using fragrance inside box sure unique sensorial experience wo getting brand quick admit little practical benefit mean like le addition packaging made 80 recycled material always nice,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
inside addition phone getting turbopower adapter maximum output vary depending region version phone euro spec includes 125w charger option also getting variant bundled 68w unit least best tell worth double checking vendor cable included,O O O O O O O O O O O O O O O O B-charging I-charging O O O O O B-charging O O O O O O O O O O
also part package back cover frosted effect color accessory matched phone colorway luxe lavender review unit hue called blue heron pantone speak,O O O O O O O O O O O O O O O O O O O O O O
